STATEFP,order,NAME
72,1,PR
31,2,NE Lincoln Lancaster County
47,3,TN 6
25,4,MA 6
31,5,NE Dakota County
13,6,GA 3.3
13,7,GA 3.5
51,8,VA Alexandria
12,9,FL 10
1,10,AL 11
8,11,CO 21
25,12,MA 2
8,13,CO 7
49,14,UT Davis County
8,15,CO 20
11,16,DC
2,17,AK 1
17,18,IL Chicago
51,19,VA Richmond
4,20,AZ GVAHEC
51,21,VA Roanoke City
51,22,VA Chesapeake
47,23,TN 14
31,24,NE Douglas County
51,25,VA Henrico
8,26,CO 14
49,27,UT Salt Lake Valley
2,28,AK 6
51,29,VA Arlington
23,30,ME 1
40,31,OK 8
49,32,UT Summit
51,33,VA Portsmouth
8,34,CO 18
8,35,CO 2
2,36,AK 2
47,37,TN 3
53,38,WA 6
13,39,GA 3.2
51,40,VA Norfolk City
9,41,CT Health360
47,42,TN 12
23,43,ME 2
47,44,TN 7
49,45,UT Utah County
40,46,OK 7
25,47,MA 3
8,48,CO 3
49,49,UT San Juan
8,50,CO 4
49,51,UT Wasatch
8,52,CO 19
51,53,VA Loudoun
1,54,AL 4
47,55,TN 13
8,56,CO 15
54,57,WV Kanawha
23,58,ME 8
53,59,WA 5
49,60,UT Tooele County
51,61,VA Hampton
51,62,VA Virginia Beach
37,63,NC 9
37,64,NC 10
37,65,NC 7
37,66,NC 8
37,67,NC 6
37,68,NC 5
37,69,NC 4
37,70,NC 3
37,71,NC 2
37,72,NC 1
45,73,SC PEE DEE
45,74,SC LOWCOUNTRY
45,75,SC MIDLANDS
45,76,SC UPSTATE
13,77,GA 9.1
13,78,GA 6
13,79,GA 9.2
13,80,GA 8.1
13,81,GA 8.2
13,82,GA 7
13,83,GA 5.1
13,84,GA 4
13,85,GA 5.2
13,86,GA 10
13,87,GA 2
13,88,GA 3.4
13,89,GA 3.1
13,90,GA 1.2
13,91,GA 1.1
47,92,TN 1
47,93,TN 2
47,94,TN 5
47,95,TN 4
47,96,TN 9
47,97,TN 8
47,98,TN 10
47,99,TN 11
12,100,FL 11
12,101,FL 9
12,102,FL 8
12,103,FL 6
12,104,FL 5
12,105,FL 7
12,106,FL 4
